AirlineCarrierCode,PassengerFlightNumber,PassengerRecordLocator,CutomerId,PassengerBookingId,FirstName,LastName,FlightOriginLocalDate,FlightOriginStnCode,FlightDestStnCode,ConnectionStnCode,ConnectionTime
DL,AT5,WVDC60,88455787746,5.79853E+15,Remona,Kautzer,1/13/16,PEK,HNL,LAX,161
GA,319,YKLJ57,3.44037E+11,3.84467E+15,Dinorah,Gaylord,2/12/16,HNL,MUC,AMS,61
AM,73J,UOLY03,5.47849E+11,6.6576E+15,Jacquline,Simonis,5/2/16,MXP,MXP,DTW,95
KQ,777,WSHZ94,7.93161E+11,3.65809E+15,Nelson,Franecki,8/28/16,SFO,MXP,HND,153
KL,346,GNZQ24,1.38758E+11,5.21477E+15,Michal,Bechtelar,5/17/16,PEK,GIG,LHR,162
SU,EQV,ERKU62,6.03319E+11,5.46373E+14,Jamel,Lockman,11/26/15,SFO,GIG,DTW,175
KE,73W,ZNFL88,7.7041E+11,5.37738E+15,Sadie,Thiel,10/30/15,DEL,PEK,LAX,151
RO,ATR,XPOS58,4.97931E+11,7.23209E+15,Kena,Boehm,2/27/16,HNL,MUC,JFK,160
OK,739,AGSR87,2.43099E+11,3.54954E+14,Vicenta,Hansen,8/7/16,SEA,SEA,ATL,59
GA,74M,KWZG29,7.96303E+11,7.30243E+15,Cicely,Reilly,1/8/16,DXB,MUC,BOM,85
AM,M90,RTNP74,3.63753E+11,7.71173E+15,Ambrose,Dooley,1/15/16,BOM,PEK,LAX,72
AZ,739,EMGS11,8.63903E+11,5.62911E+15,Martin,Stark,6/12/16,DEL,SEA,MSP,107
AF,EQV,YBJP31,4.53499E+11,6.58676E+15,Bettina,Ernser,1/23/16,HNL,DEL,HND,85
MU,CR9,SHRF32,6.19704E+11,1.32893E+15,Roscoe,Wiegand,11/4/15,DEL,HNL,MSP,152
RO,ATR,FYBG36,4.9608E+11,1.03229E+15,Vida,Lynch,6/28/16,SEA,DXB,ATL,133
UX,788,TNMD95,2.08374E+11,1.23793E+15,Boyd,Spinka,9/15/16,SEA,MXP,MSP,88
AM,77W,ULCJ55,6.64258E+11,1.91016E+15,Beau,Schinner,5/29/16,SFO,BOM,LHR,171
SU,AB6,ZNFH19,39984475804,7.20307E+15,Yang,Roberts,4/11/16,MUC,BOM,ATL,118
